doc_id,canonical_url,archive_url,wayback_timestamp,title,category,status,error,char_count
cb_help_0001,https://help.coinbase.com/en/coinbase/managing-my-account/link-a-payment-method/can-i-withdraw-from-my-eur-wallet-to-my-verified-uk-bank-account,https://web.archive.org/web/20230531003523id_/https://help.coinbase.com/en/coinbase/managing-my-account/link-a-payment-method/can-i-withdraw-from-my-eur-wallet-to-my-verified-uk-bank-account,20230531003523,Can I withdraw from my EUR wallet to my verified UK bank account? | Coinbase Help,Managing My Account,ok,,697
cb_help_0002,https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/security-key-restrictions,https://web.archive.org/web/20230531002506id_/https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/security-key-restrictions,20230531002506,Security key restrictions | Coinbase Help,Getting Started,ok,,1133
cb_help_0004,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/using-a-bank-account-as-a-payment-method-for-us-customers,https://web.archive.org/web/20230531003058id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/using-a-bank-account-as-a-payment-method-for-us-customers,20230531003058,Using a bank account as a payment method for US customers | Coinbase Help,Getting Started,ok,,4221
cb_help_0005,https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/2-factor-authentication-2fa-faq,https://web.archive.org/web/20220813192731id_/https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/2-factor-authentication-2fa-faq,20220813192731,What is 2-step verification? | Coinbase Help,Getting Started,ok,,2513
cb_help_0006,https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/how-do-i-verify-my-identity-when-using-the-mobile-app,https://web.archive.org/web/20230131043854id_/https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/how-do-i-verify-my-identity-when-using-the-mobile-app,20230131043854,How do I verify my identity through the mobile app? | Coinbase Help,Getting Started,ok,,681
cb_help_0010,https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/using-and-managing-security-keys,https://web.archive.org/web/20210702060406id_/https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/using-and-managing-security-keys,20210702060406,Using and managing security keys | Coinbase Help,Managing My Account,ok,,2795
cb_help_0011,https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/why-didnt-i-receive-a-verification-email,https://web.archive.org/web/20220126204922id_/https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/why-didnt-i-receive-a-verification-email,20220126204922,Why didn't I receive a verification email? | Coinbase Help,Managing My Account,ok,,1678
cb_help_0012,https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/why-is-my-vault-withdrawal-pending,https://web.archive.org/web/20240112115633id_/https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/why-is-my-vault-withdrawal-pending,20240112115633,Why is my vault withdrawal pending? | Coinbase Help,Managing My Account,ok,,3070
cb_help_0013,https://help.coinbase.com/en/coinbase/privacy-and-security/account-compromised/how-do-i-report-an-unauthorized-transaction,https://web.archive.org/web/20230604033100id_/https://help.coinbase.com/en/coinbase/privacy-and-security/account-compromised/how-do-i-report-an-unauthorized-transaction,20230604033100,How do I report an unauthorized transaction? | Coinbase Help,Privacy And Security,ok,,1702
cb_help_0014,https://help.coinbase.com/en/coinbase/privacy-and-security/avoiding-phishing-and-scams/password-requirements,https://web.archive.org/web/20230531014304id_/https://help.coinbase.com/en/coinbase/privacy-and-security/avoiding-phishing-and-scams/password-requirements,20230531014304,Password requirements and troubleshooting | Coinbase Help,Privacy And Security,ok,,3625
cb_help_0015,https://help.coinbase.com/en/coinbase/privacy-and-security/avoiding-phishing-and-scams/why-did-i-receive-an-unexpected-device-confirmation-email,https://web.archive.org/web/20230202182537id_/https://help.coinbase.com/en/coinbase/privacy-and-security/avoiding-phishing-and-scams/why-did-i-receive-an-unexpected-device-confirmation-email,20230202182537,Why did I receive an unexpected device confirmation email? | Coinbase Help,Privacy And Security,ok,,3332
cb_help_0016,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/how-do-i-buy-digital-currency-with-a-credit-or-debit-card-in-europe-and-the-uk,https://web.archive.org/web/20230306004457id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/how-do-i-buy-digital-currency-with-a-credit-or-debit-card-in-europe-and-the-uk,20230306004457,How do I buy cryptocurrency with a credit or debit card in Europe and the UK? | Coinbase Help,Getting Started,ok,,1711
cb_help_0018,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/how-do-i-locate-my-payment-method-verification-amounts,https://web.archive.org/web/20230531002727id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/how-do-i-locate-my-payment-method-verification-amounts,20230531002727,How do I verify my bank info? | Coinbase Help,Getting Started,ok,,3331
cb_help_0019,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/how-do-i-use-my-local-currency-wallet-usd-eur-gbp,https://web.archive.org/web/20220924230748id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/how-do-i-use-my-local-currency-wallet-usd-eur-gbp,20220924230748,Cash balances | Coinbase Help,Getting Started,ok,,1699
cb_help_0022,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/why-are-my-payment-method-verification-amounts-incorrect,https://web.archive.org/web/20231001152312id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/why-are-my-payment-method-verification-amounts-incorrect,20231001152312,Why are my payment method verification amounts incorrect? | Coinbase Help,Getting Started,ok,,2000
cb_help_0023,https://help.coinbase.com/en/coinbase/getting-started/other/how-can-i-contact-coinbase-support,https://web.archive.org/web/20220719174922id_/https://help.coinbase.com/en/coinbase/getting-started/other/how-can-i-contact-coinbase-support,20220719174922,How can I contact Coinbase Support? | Coinbase Help,Getting Started,ok,,1867
cb_help_0024,https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/2step-verification-apps,https://web.archive.org/web/20230531002311id_/https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/2step-verification-apps,20230531002311,What 2-step verification apps (TOTP) can I use? | Coinbase Help,Getting Started,ok,,754
cb_help_0025,https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/device-confirmation-troubleshooting,https://web.archive.org/web/20230306004445id_/https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/device-confirmation-troubleshooting,20230306004445,Device confirmation troubleshooting | Coinbase Help,Getting Started,ok,,1887
cb_help_0026,https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/how-do-i-set-up-2-factor-authentication,https://web.archive.org/web/20220731141717id_/https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/how-do-i-set-up-2-factor-authentication,20220731141717,How do I set up 2-step verification? | Coinbase Help,Getting Started,ok,,1982
cb_help_0028,https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/how-to-enable-a-webcam,https://web.archive.org/web/20230531002524id_/https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/how-to-enable-a-webcam,20230531002524,How to enable a webcam | Coinbase Help,Getting Started,ok,,1717
cb_help_0029,https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/id-doc-verification,https://web.archive.org/web/20220924230225id_/https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/id-doc-verification,20220924230225,How to verify your identity on Coinbase | Coinbase Help,Getting Started,ok,,3469
cb_help_0030,https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/idv-tips,https://web.archive.org/web/20230606092500id_/https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/idv-tips,20230606092500,Identity document verification troubleshooting | Coinbase Help,Getting Started,ok,,2797
cb_help_0031,https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/managing-google-authenticator,https://web.archive.org/web/20220810154755id_/https://help.coinbase.com/en/coinbase/getting-started/verify-my-account/managing-google-authenticator,20220810154755,Enabling Duo or Google Authenticator (TOTP) | Coinbase Help,Getting Started,ok,,1497
cb_help_0034,https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/eu-verification-levels-faq,https://web.archive.org/web/20230208234322id_/https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/eu-verification-levels-faq,20230208234322,EU verification levels FAQ | Coinbase Help,Managing My Account,ok,,1573
cb_help_0035,https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/ive-installed-a-smartphone-2-factor-app-how-do-i-stop-receiving-sms-codes,https://web.archive.org/web/20230306004431id_/https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/ive-installed-a-smartphone-2-factor-app-how-do-i-stop-receiving-sms-codes,20230306004431,I've installed a smartphone 2-factor app. How do I stop receiving SMS codes? | Coinbase Help,Managing My Account,ok,,736
cb_help_0037,https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/verification-link-issues,https://web.archive.org/web/20230531014929id_/https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/verification-link-issues,20230531014929,"The link in my verification email is missing, expired, or invalid | Coinbase Help",Managing My Account,ok,,1137
cb_help_0038,https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/what-type-of-photo-id-can-i-provide,https://web.archive.org/web/20220429143627id_/https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/what-type-of-photo-id-can-i-provide,20220429143627,What type of photo ID can I provide? | Coinbase Help,Managing My Account,ok,,846
cb_help_0039,https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/why-isnt-my-authy-device-recognized,https://web.archive.org/web/20230602180251id_/https://help.coinbase.com/en/coinbase/managing-my-account/verify-my-identity/why-isnt-my-authy-device-recognized,20230602180251,Why isn't my authy device recognized? | Coinbase Help,Managing My Account,ok,,928
cb_help_0041,https://help.coinbase.com/en/coinbase/privacy-and-security/avoiding-phishing-and-scams/avoiding-cryptocurrency-scams,https://web.archive.org/web/20211120145423id_/https://help.coinbase.com/en/coinbase/privacy-and-security/avoiding-phishing-and-scams/avoiding-cryptocurrency-scams,20211120145423,Avoiding cryptocurrency scams | Coinbase Help,Privacy And Security,ok,,9269
cb_help_0042,https://help.coinbase.com/en/coinbase/privacy-and-security/avoiding-phishing-and-scams/phone-based-attacks,https://web.archive.org/web/20220626142741id_/https://help.coinbase.com/en/coinbase/privacy-and-security/avoiding-phishing-and-scams/phone-based-attacks,20220626142741,Phone-based attacks | Coinbase Help,Privacy And Security,ok,,978
cb_help_0043,https://help.coinbase.com/en/coinbase/privacy-and-security/avoiding-phishing-and-scams/reporting-phishing-sites,https://web.archive.org/web/20220504082320id_/https://help.coinbase.com/en/coinbase/privacy-and-security/avoiding-phishing-and-scams/reporting-phishing-sites,20220504082320,Reporting phishing sites | Coinbase Help,Privacy And Security,ok,,2421
cb_help_0047,https://help.coinbase.com/en/coinbase/trading-and-funding/depositing-or-withdrawing-fiat-money/how-long-do-international-deposits-and-withdrawals-take,https://web.archive.org/web/20231207001226id_/https://help.coinbase.com/en/coinbase/trading-and-funding/depositing-or-withdrawing-fiat-money/how-long-do-international-deposits-and-withdrawals-take,20231207001226,How long do international deposits and withdrawals take? | Coinbase Help,Trading And Funding,ok,,1098
cb_help_0052,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/how-do-i-add-a-payment-method-when-using-the-mobile-app,https://web.archive.org/web/20230602194712id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/how-do-i-add-a-payment-method-when-using-the-mobile-app,20230602194712,Add a payment method on the Coinbase mobile app | Coinbase Help,Getting Started,ok,,1429
cb_help_0053,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-australian-customers,https://web.archive.org/web/20220626055812id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-australian-customers,20220626055812,Payment methods for Australian customers | Coinbase Help,Getting Started,ok,,1526
cb_help_0054,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-canadian-customers,https://web.archive.org/web/20230531002846id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-canadian-customers,20230531002846,Payment methods for Canadian customers | Coinbase Help,Getting Started,ok,,4250
cb_help_0055,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-european-customers,https://web.archive.org/web/20220926222522id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-european-customers,20220926222522,Payment methods for European customers | Coinbase Help,Getting Started,ok,,9278
cb_help_0056,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-singapore-customers,https://web.archive.org/web/20230531002934id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-singapore-customers,20230531002934,Payment methods for Singapore customers | Coinbase Help,Getting Started,ok,,801
cb_help_0057,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-uk-customers,https://web.archive.org/web/20230208225347id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-uk-customers,20230208225347,Payment methods for UK customers | Coinbase Help,Getting Started,ok,,5971
cb_help_0058,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-us-customers,https://web.archive.org/web/20220102044956id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/payment-methods-for-us-customers,20220102044956,Payment methods for US customers | Coinbase Help,Getting Started,ok,,10804
cb_help_0059,https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/paypal-faq,https://web.archive.org/web/20211218203613id_/https://help.coinbase.com/en/coinbase/getting-started/add-a-payment-method/paypal-faq,20211218203613,PayPal FAQ | Coinbase Help,Getting Started,ok,,3590
cb_help_0060,https://help.coinbase.com/en/coinbase/getting-started/crypto-education/can-i-cancel-a-digital-currency-transaction,https://web.archive.org/web/20230531003221id_/https://help.coinbase.com/en/coinbase/getting-started/crypto-education/can-i-cancel-a-digital-currency-transaction,20230531003221,Can I cancel a cryptocurrency transaction? | Coinbase Help,Getting Started,ok,,548
cb_help_0066,https://help.coinbase.com/en/coinbase/getting-started/crypto-education/why-do-i-see-cryptocurrencies-that-arent-supported-by-coinbase,https://web.archive.org/web/20220110053038id_/https://help.coinbase.com/en/coinbase/getting-started/crypto-education/why-do-i-see-cryptocurrencies-that-arent-supported-by-coinbase,20220110053038,Why do I see cryptocurrencies that arent supported by Coinbase? | Coinbase Help,Getting Started,ok,,900
cb_help_0067,https://help.coinbase.com/en/coinbase/getting-started/getting-started-with-coinbase/2-factor-authentication-2fa-faq,https://web.archive.org/web/20220520040409id_/https://help.coinbase.com/en/coinbase/getting-started/getting-started-with-coinbase/2-factor-authentication-2fa-faq,20220520040409,What is 2-step verification? | Coinbase Help,Getting Started,ok,,2230
cb_help_0069,https://help.coinbase.com/en/coinbase/getting-started/getting-started-with-coinbase/create-a-coinbase-account,https://web.archive.org/web/20210414164034id_/https://help.coinbase.com/en/coinbase/getting-started/getting-started-with-coinbase/create-a-coinbase-account,20210414164034,Create a Coinbase account | Coinbase Help,Getting Started,ok,,5033
cb_help_0070,https://help.coinbase.com/en/coinbase/getting-started/getting-started-with-coinbase/id-doc-verification,https://web.archive.org/web/20211005222543id_/https://help.coinbase.com/en/coinbase/getting-started/getting-started-with-coinbase/id-doc-verification,20211005222543,Identity document verification | Coinbase Help,Getting Started,ok,,5096
cb_help_0073,https://help.coinbase.com/en/coinbase/getting-started/other/international-support,https://web.archive.org/web/20230306004536id_/https://help.coinbase.com/en/coinbase/getting-started/other/international-support,20230306004536,International support | Coinbase Help,Getting Started,ok,,928
cb_help_0074,https://help.coinbase.com/en/coinbase/getting-started/other/invest-responsibly-recommended-account-management-practices,https://web.archive.org/web/20230531004359id_/https://help.coinbase.com/en/coinbase/getting-started/other/invest-responsibly-recommended-account-management-practices,20230531004359,Invest responsibly: recommended account management practices | Coinbase Help,Getting Started,ok,,1801
cb_help_0075,https://help.coinbase.com/en/coinbase/getting-started/other/what-mobile-devices-does-coinbase-support,https://web.archive.org/web/20230531004245id_/https://help.coinbase.com/en/coinbase/getting-started/other/what-mobile-devices-does-coinbase-support,20230531004245,What mobile devices does Coinbase support? | Coinbase Help,Getting Started,ok,,792
cb_help_0076,https://help.coinbase.com/en/coinbase/managing-my-account/get-back-into-my-account/2-step-verification-troubleshooting,https://web.archive.org/web/20220126211513id_/https://help.coinbase.com/en/coinbase/managing-my-account/get-back-into-my-account/2-step-verification-troubleshooting,20220126211513,2-Step verification troubleshooting | Coinbase Help,Managing My Account,ok,,9681
cb_help_0077,https://help.coinbase.com/en/coinbase/managing-my-account/get-back-into-my-account/i-cant-remember-my-password,https://web.archive.org/web/20220924230302id_/https://help.coinbase.com/en/coinbase/managing-my-account/get-back-into-my-account/i-cant-remember-my-password,20220924230302,I can't remember my password | Coinbase Help,Managing My Account,ok,,603
cb_help_0080,https://help.coinbase.com/en/coinbase/managing-my-account/other/how-to-withdraw-funds-from-a-closed-account,https://web.archive.org/web/20230531015144id_/https://help.coinbase.com/en/coinbase/managing-my-account/other/how-to-withdraw-funds-from-a-closed-account,20230531015144,How to withdraw funds from a closed account | Coinbase Help,Managing My Account,ok,,1098
cb_help_0081,https://help.coinbase.com/en/coinbase/other-topics/legal-policies/who-do-i-contact-for-a-subpoena-request-or-dispute-or-to-send-a-legal-document,https://web.archive.org/web/20240614132931id_/https://help.coinbase.com/en/coinbase/other-topics/legal-policies/who-do-i-contact-for-a-subpoena-request-or-dispute-or-to-send-a-legal-document,20240614132931,"Who do I contact for a subpoena request, dispute, or to send a legal document? | Coinbase Help",Other Topics,ok,,1349
cb_help_0082,https://help.coinbase.com/en/coinbase/privacy-and-security/data-privacy/how-can-i-make-my-account-more-secure,https://web.archive.org/web/20211105213401id_/https://help.coinbase.com/en/coinbase/privacy-and-security/data-privacy/how-can-i-make-my-account-more-secure,20211105213401,How can I make my account more secure? | Coinbase Help,Privacy And Security,ok,,14275
cb_help_0083,https://help.coinbase.com/en/coinbase/privacy-and-security/other/does-coinbase-use-customer-deposits-for-anything,https://web.archive.org/web/20230601153827id_/https://help.coinbase.com/en/coinbase/privacy-and-security/other/does-coinbase-use-customer-deposits-for-anything,20230601153827,Does Coinbase use customer deposits for anything? | Coinbase Help,Privacy And Security,ok,,390
cb_help_0084,https://help.coinbase.com/en/coinbase/privacy-and-security/other/i-see-the-error-account-temporarily-disabled-what-should-i-do,https://web.archive.org/web/20231204224219id_/https://help.coinbase.com/en/coinbase/privacy-and-security/other/i-see-the-error-account-temporarily-disabled-what-should-i-do,20231204224219,"Account restricted and I see the error ""account temporarily disabled"". What should I do? | Coinbase Help",Privacy And Security,ok,,2314
cb_help_0086,https://help.coinbase.com/en/coinbase/privacy-and-security/other/why-will-my-password-reset-require-24-hours-to-process,https://web.archive.org/web/20230601154258id_/https://help.coinbase.com/en/coinbase/privacy-and-security/other/why-will-my-password-reset-require-24-hours-to-process,20230601154258,Why will my password reset require 24 hours to process? | Coinbase Help,Privacy And Security,ok,,603
cb_help_0087,https://help.coinbase.com/en/coinbase/trading-and-funding/buying-selling-or-converting-crypto/why-are-buys-and-deposits-disabled-on-my-account,https://web.archive.org/web/20230320185305id_/https://help.coinbase.com/en/coinbase/trading-and-funding/buying-selling-or-converting-crypto/why-are-buys-and-deposits-disabled-on-my-account,20230320185305,Why am I unable to buy crypto and add cash on my account? | Coinbase Help,Trading And Funding,ok,,1134
cb_help_0089,https://help.coinbase.com/en/coinbase/trading-and-funding/cryptocurrency-trading-pairs/how-to-send-and-receive-cryptocurrency,https://web.archive.org/web/20211020014338id_/https://help.coinbase.com/en/coinbase/trading-and-funding/cryptocurrency-trading-pairs/how-to-send-and-receive-cryptocurrency,20211020014338,How to send and receive cryptocurrency | Coinbase Help,Trading And Funding,ok,,4671
